Отчёт по продажам;
Период: с 01/12/2019 по 05/06/2022;
Итого: 2929230.00;
;
Дата продажи;Код;Наименование;Количество;Сумма;Итого за дату;
27/01/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;1;100.00;380.00;
27/01/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;1;280.00;380.00;
28/01/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;1;100.00;660.00;
28/01/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;1;280.00;660.00;
28/01/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;1;280.00;660.00;
29/01/2021;37;осмотр музея;7;700.00;700.00;
30/01/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;10650.00;
30/01/2021;35;мастер-класс;1;600.00;10650.00;
30/01/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;10650.00;
30/01/2021;17;конфеты негл.Марципановая картошка 160г.;1;250.00;10650.00;
30/01/2021;36;марципановые мандарины;1;100.00;10650.00;
30/01/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;10650.00;
30/01/2021;29;марципановые фрукты в ассортименте;1;50.00;10650.00;
30/01/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;1;120.00;10650.00;
30/01/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;10650.00;
30/01/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;10650.00;
30/01/2021;5;конфеты;2;560.00;10650.00;
30/01/2021;38;экскурсия в музее;2;300.00;10650.00;
30/01/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;2;560.00;10650.00;
30/01/2021;20;Батончик глазированный "Марципановый батончик классич. в ассортименте, 50г;2;200.00;10650.00;
30/01/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;10650.00;
30/01/2021;2;Шок.конфеты грондард в шоколадной глазури ореховая нуга/марципан к/к ацтек россия 140г;2;560.00;10650.00;
30/01/2021;34;набор для лепки;2;1000.00;10650.00;
30/01/2021;27;СИБИРСКИЙ КЕДР Кедровый марципан в шоколадной глазури (коробка), 170 гр ;2;700.00;10650.00;
30/01/2021;16;картошка с мокко;2;500.00;10650.00;
30/01/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;2;560.00;10650.00;
30/01/2021;15;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;3;360.00;10650.00;
30/01/2021;4;Fun marzipan для лепки 75 г;3;810.00;10650.00;
30/01/2021;31;музей лекция;3;840.00;10650.00;
30/01/2021;28;конфеты кедровые в ассортименте;3;90.00;10650.00;
30/01/2021;37;осмотр музея;10;1000.00;10650.00;
31/01/2021;24;КОНФЕТЫ НЕГЛАЗ. МИНДАЛЬНОЕ ЛАКОМСТВО АССОРТИ (КОРЗИНОЧКА) 100Г АЦТЕК;1;300.00;8430.00;
31/01/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;8430.00;
31/01/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;8430.00;
31/01/2021;17;конфеты негл.Марципановая картошка 160г.;1;250.00;8430.00;
31/01/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;1;120.00;8430.00;
31/01/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;2;560.00;8430.00;
31/01/2021;31;музей лекция;2;560.00;8430.00;
31/01/2021;4;Fun marzipan для лепки 75 г;3;810.00;8430.00;
31/01/2021;35;мастер-класс;6;3600.00;8430.00;
31/01/2021;37;осмотр музея;17;1700.00;8430.00;
01/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;2460.00;
01/02/2021;25;конфеты гл. Марцепан с кус. клюквы 98г.;1;230.00;2460.00;
01/02/2021;4;Fun marzipan для лепки 75 г;1;270.00;2460.00;
01/02/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;1;120.00;2460.00;
01/02/2021;12;БатонЧик Шлягер Вкуса Марципан с ромом 45гр Россия;1;100.00;2460.00;
01/02/2021;17;конфеты негл.Марципановая картошка 160г.;2;500.00;2460.00;
01/02/2021;36;марципановые мандарины;2;200.00;2460.00;
01/02/2021;37;осмотр музея;2;200.00;2460.00;
01/02/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;2;200.00;2460.00;
01/02/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;3;300.00;2460.00;
01/02/2021;28;конфеты кедровые в ассортименте;3;90.00;2460.00;
02/02/2021;35;мастер-класс;1;600.00;3880.00;
02/02/2021;17;конфеты негл.Марципановая картошка 160г.;1;250.00;3880.00;
02/02/2021;4;Fun marzipan для лепки 75 г;1;270.00;3880.00;
02/02/2021;19;Батончик глазир.Марципановый батончик с начинкой шоколадный мусс 50г;1;100.00;3880.00;
02/02/2021;20;Батончик глазированный "Марципановый батончик классич. в ассортименте, 50г;1;100.00;3880.00;
02/02/2021;34;набор для лепки;1;500.00;3880.00;
02/02/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;2;200.00;3880.00;
02/02/2021;28;конфеты кедровые в ассортименте;2;60.00;3880.00;
02/02/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;4;400.00;3880.00;
02/02/2021;37;осмотр музея;4;400.00;3880.00;
02/02/2021;11;БатонЧик Шлягер Вкуса Марципан с корицей 45гр Россия;5;500.00;3880.00;
02/02/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;5;500.00;3880.00;
04/02/2021;37;осмотр музея;2;200.00;200.00;
05/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;1910.00;
05/02/2021;5;конфеты;1;280.00;1910.00;
05/02/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;1910.00;
05/02/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;1;120.00;1910.00;
05/02/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;1;120.00;1910.00;
05/02/2021;30;марципан в элитном шоколаде;2;120.00;1910.00;
05/02/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;3;300.00;1910.00;
05/02/2021;29;марципановые фрукты в ассортименте;7;350.00;1910.00;
05/02/2021;28;конфеты кедровые в ассортименте;9;270.00;1910.00;
06/02/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;4930.00;
06/02/2021;30;марципан в элитном шоколаде;1;60.00;4930.00;
06/02/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;1;280.00;4930.00;
06/02/2021;2;Шок.конфеты грондард в шоколадной глазури ореховая нуга/марципан к/к ацтек россия 140г;1;280.00;4930.00;
06/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;4930.00;
06/02/2021;28;конфеты кедровые в ассортименте;2;60.00;4930.00;
06/02/2021;35;мастер-класс;4;2400.00;4930.00;
06/02/2021;31;музей лекция;4;1120.00;4930.00;
07/02/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;2390.00;
07/02/2021;35;мастер-класс;1;600.00;2390.00;
07/02/2021;5;конфеты;1;280.00;2390.00;
07/02/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;1;100.00;2390.00;
07/02/2021;19;Батончик глазир.Марципановый батончик с начинкой шоколадный мусс 50г;1;100.00;2390.00;
07/02/2021;31;музей лекция;1;280.00;2390.00;
07/02/2021;18;Марципан батончик апельсин Грондард;1;100.00;2390.00;
07/02/2021;37;осмотр музея;7;700.00;2390.00;
08/02/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;820.00;
08/02/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;1;120.00;820.00;
08/02/2021;39;музей-каталог;1;150.00;820.00;
08/02/2021;30;марципан в элитном шоколаде;2;120.00;820.00;
08/02/2021;37;осмотр музея;2;200.00;820.00;
13/02/2021;37;осмотр музея;1;100.00;4120.00;
13/02/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;1;100.00;4120.00;
13/02/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;4120.00;
13/02/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);1;120.00;4120.00;
13/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;4120.00;
13/02/2021;28;конфеты кедровые в ассортименте;4;120.00;4120.00;
13/02/2021;40;чай;4;40.00;4120.00;
13/02/2021;35;мастер-класс;5;3000.00;4120.00;
14/02/2021;5;конфеты;1;280.00;6740.00;
14/02/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;1;100.00;6740.00;
14/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;1;180.00;6740.00;
14/02/2021;45;ассорти;1;280.00;6740.00;
14/02/2021;29;марципановые фрукты в ассортименте;1;50.00;6740.00;
14/02/2021;22;Батончик глазир.Марципановый батончик с начинкой шоколадный мусс 50г;1;100.00;6740.00;
14/02/2021;40;чай;1;10.00;6740.00;
14/02/2021;34;набор для лепки;1;500.00;6740.00;
14/02/2021;12;БатонЧик Шлягер Вкуса Марципан с ромом 45гр Россия;1;100.00;6740.00;
14/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;6740.00;
14/02/2021;15;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;6740.00;
14/02/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;2;200.00;6740.00;
14/02/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;2;200.00;6740.00;
14/02/2021;35;мастер-класс;4;2400.00;6740.00;
14/02/2021;28;конфеты кедровые в ассортименте;4;120.00;6740.00;
14/02/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);4;480.00;6740.00;
14/02/2021;37;осмотр музея;10;1000.00;6740.00;
16/02/2021;15;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;1;120.00;1090.00;
16/02/2021;37;осмотр музея;1;100.00;1090.00;
16/02/2021;38;экскурсия в музее;1;150.00;1090.00;
16/02/2021;18;Марципан батончик апельсин Грондард;1;100.00;1090.00;
16/02/2021;31;музей лекция;2;560.00;1090.00;
16/02/2021;28;конфеты кедровые в ассортименте;2;60.00;1090.00;
17/02/2021;31;музей лекция;1;280.00;480.00;
17/02/2021;37;осмотр музея;2;200.00;480.00;
18/02/2021;37;осмотр музея;1;100.00;240.00;
18/02/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;240.00;
19/02/2021;15;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;600.00;
19/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;2;360.00;600.00;
20/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;2620.00;
20/02/2021;42;Сибирский Кедр КЕДРОВЫЙ МАРЦИПАН ассорти с клюквой,малиной,облепихой упак 170 гр (Томск);1;380.00;2620.00;
20/02/2021;2;Шок.конфеты грондард в шоколадной глазури ореховая нуга/марципан к/к ацтек россия 140г;1;280.00;2620.00;
20/02/2021;27;СИБИРСКИЙ КЕДР Кедровый марципан в шоколадной глазури (коробка), 170 гр ;1;350.00;2620.00;
20/02/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;2620.00;
20/02/2021;5;конфеты;2;560.00;2620.00;
20/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;2;360.00;2620.00;
20/02/2021;37;осмотр музея;3;300.00;2620.00;
21/02/2021;25;конфеты гл. Марцепан с кус. клюквы 98г.;1;230.00;11020.00;
21/02/2021;5;конфеты;1;280.00;11020.00;
21/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;1;180.00;11020.00;
21/02/2021;34;набор для лепки;1;500.00;11020.00;
21/02/2021;18;Марципан батончик апельсин Грондард;1;100.00;11020.00;
21/02/2021;11;БатонЧик Шлягер Вкуса Марципан с корицей 45гр Россия;2;200.00;11020.00;
21/02/2021;42;Сибирский Кедр КЕДРОВЫЙ МАРЦИПАН ассорти с клюквой,малиной,облепихой упак 170 гр (Томск);2;760.00;11020.00;
21/02/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;11020.00;
21/02/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);2;240.00;11020.00;
21/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";3;750.00;11020.00;
21/02/2021;30;марципан в элитном шоколаде;3;180.00;11020.00;
21/02/2021;29;марципановые фрукты в ассортименте;4;200.00;11020.00;
21/02/2021;35;мастер-класс;6;3600.00;11020.00;
21/02/2021;40;чай;11;110.00;11020.00;
21/02/2021;28;конфеты кедровые в ассортименте;25;750.00;11020.00;
21/02/2021;37;осмотр музея;27;2700.00;11020.00;
22/02/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;17190.00;
22/02/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;17190.00;
22/02/2021;45;ассорти;1;280.00;17190.00;
22/02/2021;39;музей-каталог;1;150.00;17190.00;
22/02/2021;34;набор для лепки;1;500.00;17190.00;
22/02/2021;30;марципан в элитном шоколаде;2;120.00;17190.00;
22/02/2021;29;марципановые фрукты в ассортименте;2;100.00;17190.00;
22/02/2021;31;музей лекция;2;560.00;17190.00;
22/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;3;540.00;17190.00;
22/02/2021;15;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;4;480.00;17190.00;
22/02/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);5;1400.00;17190.00;
22/02/2021;24;КОНФЕТЫ НЕГЛАЗ. МИНДАЛЬНОЕ ЛАКОМСТВО АССОРТИ (КОРЗИНОЧКА) 100Г АЦТЕК;6;1800.00;17190.00;
22/02/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;10;2300.00;17190.00;
22/02/2021;35;мастер-класс;11;6600.00;17190.00;
22/02/2021;37;осмотр музея;12;1200.00;17190.00;
22/02/2021;28;конфеты кедровые в ассортименте;27;810.00;17190.00;
23/02/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;1;180.00;2850.00;
23/02/2021;34;набор для лепки;1;500.00;2850.00;
23/02/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;2850.00;
23/02/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;2850.00;
23/02/2021;28;конфеты кедровые в ассортименте;3;90.00;2850.00;
23/02/2021;37;осмотр музея;17;1700.00;2850.00;
24/02/2021;37;осмотр музея;2;200.00;220.00;
24/02/2021;40;чай;2;20.00;220.00;
25/02/2021;37;осмотр музея;2;200.00;200.00;
26/02/2021;31;музей лекция;1;280.00;1340.00;
26/02/2021;28;конфеты кедровые в ассортименте;2;60.00;1340.00;
26/02/2021;37;осмотр музея;10;1000.00;1340.00;
27/02/2021;35;мастер-класс;3;1800.00;3950.00;
27/02/2021;31;музей лекция;3;840.00;3950.00;
27/02/2021;30;марципан в элитном шоколаде;4;240.00;3950.00;
27/02/2021;37;осмотр музея;8;800.00;3950.00;
27/02/2021;28;конфеты кедровые в ассортименте;9;270.00;3950.00;
28/02/2021;25;конфеты гл. Марцепан с кус. клюквы 98г.;1;230.00;10410.00;
28/02/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;10410.00;
28/02/2021;42;Сибирский Кедр КЕДРОВЫЙ МАРЦИПАН ассорти с клюквой,малиной,облепихой упак 170 гр (Томск);1;380.00;10410.00;
28/02/2021;37;осмотр музея;1;100.00;10410.00;
28/02/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;10410.00;
28/02/2021;38;экскурсия в музее;2;300.00;10410.00;
28/02/2021;2;Шок.конфеты грондард в шоколадной глазури ореховая нуга/марципан к/к ацтек россия 140г;2;560.00;10410.00;
28/02/2021;30;марципан в элитном шоколаде;4;240.00;10410.00;
28/02/2021;45;ассорти;4;1120.00;10410.00;
28/02/2021;29;марципановые фрукты в ассортименте;4;200.00;10410.00;
28/02/2021;35;мастер-класс;6;3600.00;10410.00;
28/02/2021;34;набор для лепки;6;3000.00;10410.00;
28/02/2021;28;конфеты кедровые в ассортименте;10;300.00;10410.00;
01/03/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;1;180.00;1480.00;
01/03/2021;28;конфеты кедровые в ассортименте;1;30.00;1480.00;
01/03/2021;40;чай;1;10.00;1480.00;
01/03/2021;31;музей лекция;2;560.00;1480.00;
01/03/2021;37;осмотр музея;7;700.00;1480.00;
02/03/2021;24;КОНФЕТЫ НЕГЛАЗ. МИНДАЛЬНОЕ ЛАКОМСТВО АССОРТИ (КОРЗИНОЧКА) 100Г АЦТЕК;1;300.00;1440.00;
02/03/2021;35;мастер-класс;1;600.00;1440.00;
02/03/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;1440.00;
02/03/2021;37;осмотр музея;4;400.00;1440.00;
03/03/2021;37;осмотр музея;2;200.00;200.00;
04/03/2021;35;мастер-класс;1;600.00;640.00;
04/03/2021;28;конфеты кедровые в ассортименте;1;30.00;640.00;
04/03/2021;40;чай;1;10.00;640.00;
05/03/2021;4;Fun marzipan для лепки 75 г;1;270.00;1540.00;
05/03/2021;40;чай;1;10.00;1540.00;
05/03/2021;37;осмотр музея;2;200.00;1540.00;
05/03/2021;28;конфеты кедровые в ассортименте;2;60.00;1540.00;
05/03/2021;34;набор для лепки;2;1000.00;1540.00;
06/03/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";1;250.00;15930.00;
06/03/2021;5;конфеты;1;280.00;15930.00;
06/03/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;1;100.00;15930.00;
06/03/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;1;100.00;15930.00;
06/03/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;1;280.00;15930.00;
06/03/2021;19;Батончик глазир.Марципановый батончик с начинкой шоколадный мусс 50г;1;100.00;15930.00;
06/03/2021;30;марципан в элитном шоколаде;2;120.00;15930.00;
06/03/2021;42;Сибирский Кедр КЕДРОВЫЙ МАРЦИПАН ассорти с клюквой,малиной,облепихой упак 170 гр (Томск);2;760.00;15930.00;
06/03/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;2;360.00;15930.00;
06/03/2021;38;экскурсия в музее;2;300.00;15930.00;
06/03/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;2;240.00;15930.00;
06/03/2021;18;Марципан батончик апельсин Грондард;2;200.00;15930.00;
06/03/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;3;300.00;15930.00;
06/03/2021;29;марципановые фрукты в ассортименте;3;150.00;15930.00;
06/03/2021;31;музей лекция;3;840.00;15930.00;
06/03/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);3;360.00;15930.00;
06/03/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;4;560.00;15930.00;
06/03/2021;35;мастер-класс;5;3000.00;15930.00;
06/03/2021;28;конфеты кедровые в ассортименте;7;210.00;15930.00;
06/03/2021;34;набор для лепки;8;4000.00;15930.00;
06/03/2021;4;Fun marzipan для лепки 75 г;9;2430.00;15930.00;
06/03/2021;37;осмотр музея;9;900.00;15930.00;
06/03/2021;40;чай;9;90.00;15930.00;
07/03/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;8560.00;
07/03/2021;25;конфеты гл. Марцепан с кус. клюквы 98г.;1;230.00;8560.00;
07/03/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;1;100.00;8560.00;
07/03/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;1;100.00;8560.00;
07/03/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;1;100.00;8560.00;
07/03/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;8560.00;
07/03/2021;29;марципановые фрукты в ассортименте;1;50.00;8560.00;
07/03/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;1;120.00;8560.00;
07/03/2021;12;БатонЧик Шлягер Вкуса Марципан с ромом 45гр Россия;1;100.00;8560.00;
07/03/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;1;280.00;8560.00;
07/03/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);1;120.00;8560.00;
07/03/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;8560.00;
07/03/2021;17;конфеты негл.Марципановая картошка 160г.;2;500.00;8560.00;
07/03/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;2;360.00;8560.00;
07/03/2021;40;чай;2;20.00;8560.00;
07/03/2021;16;картошка с мокко;2;500.00;8560.00;
07/03/2021;42;Сибирский Кедр КЕДРОВЫЙ МАРЦИПАН ассорти с клюквой,малиной,облепихой упак 170 гр (Томск);3;1140.00;8560.00;
07/03/2021;4;Fun marzipan для лепки 75 г;3;810.00;8560.00;
07/03/2021;35;мастер-класс;4;2400.00;8560.00;
07/03/2021;37;осмотр музея;8;800.00;8560.00;
08/03/2021;24;КОНФЕТЫ НЕГЛАЗ. МИНДАЛЬНОЕ ЛАКОМСТВО АССОРТИ (КОРЗИНОЧКА) 100Г АЦТЕК;1;300.00;9720.00;
08/03/2021;5;конфеты;1;280.00;9720.00;
08/03/2021;17;конфеты негл.Марципановая картошка 160г.;1;250.00;9720.00;
08/03/2021;29;марципановые фрукты в ассортименте;1;50.00;9720.00;
08/03/2021;14;Марципан кедровый с облепихой /батончик шоу-бокс 24шт 50гр /Сибирский кедр/ 1шт;1;120.00;9720.00;
08/03/2021;2;Шок.конфеты грондард в шоколадной глазури ореховая нуга/марципан к/к ацтек россия 140г;1;280.00;9720.00;
08/03/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;9720.00;
08/03/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;9720.00;
08/03/2021;30;марципан в элитном шоколаде;2;120.00;9720.00;
08/03/2021;31;музей лекция;2;560.00;9720.00;
08/03/2021;16;картошка с мокко;2;500.00;9720.00;
08/03/2021;40;чай;3;30.00;9720.00;
08/03/2021;4;Fun marzipan для лепки 75 г;4;1080.00;9720.00;
08/03/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;4;480.00;9720.00;
08/03/2021;35;мастер-класс;6;3600.00;9720.00;
08/03/2021;37;осмотр музея;11;1100.00;9720.00;
08/03/2021;28;конфеты кедровые в ассортименте;11;330.00;9720.00;
09/03/2021;35;мастер-класс;1;600.00;600.00;
10/03/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;1900.00;
10/03/2021;28;конфеты кедровые в ассортименте;1;30.00;1900.00;
10/03/2021;16;картошка с мокко;1;250.00;1900.00;
10/03/2021;31;музей лекция;3;840.00;1900.00;
10/03/2021;37;осмотр музея;5;500.00;1900.00;
11/03/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;530.00;
11/03/2021;16;картошка с мокко;1;250.00;530.00;
13/03/2021;5;конфеты;1;280.00;20780.00;
13/03/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;20780.00;
13/03/2021;21;Батончик глазир.Марципановый батончик с кокосовой начинкой 50г;1;100.00;20780.00;
13/03/2021;45;ассорти;1;280.00;20780.00;
13/03/2021;20;Батончик глазированный "Марципановый батончик классич. в ассортименте, 50г;1;100.00;20780.00;
13/03/2021;22;Батончик глазир.Марципановый батончик с начинкой шоколадный мусс 50г;1;100.00;20780.00;
13/03/2021;27;СИБИРСКИЙ КЕДР Кедровый марципан в шоколадной глазури (коробка), 170 гр ;1;350.00;20780.00;
13/03/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;20780.00;
13/03/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;2;200.00;20780.00;
13/03/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;2;560.00;20780.00;
13/03/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;2;560.00;20780.00;
13/03/2021;11;БатонЧик Шлягер Вкуса Марципан с корицей 45гр Россия;3;300.00;20780.00;
13/03/2021;24;КОНФЕТЫ НЕГЛАЗ. МИНДАЛЬНОЕ ЛАКОМСТВО АССОРТИ (КОРЗИНОЧКА) 100Г АЦТЕК;3;900.00;20780.00;
13/03/2021;30;марципан в элитном шоколаде;3;180.00;20780.00;
13/03/2021;17;конфеты негл.Марципановая картошка 160г.;3;750.00;20780.00;
13/03/2021;43;Конфеты «Кедровый марципан» ассорти (классический, малина, облепиха, клюква) Акция Сибирский кедр), 70 г;3;540.00;20780.00;
13/03/2021;16;картошка с мокко;3;750.00;20780.00;
13/03/2021;12;БатонЧик Шлягер Вкуса Марципан с ромом 45гр Россия;3;300.00;20780.00;
13/03/2021;44;1, Кедровый марципан / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр);3;360.00;20780.00;
13/03/2021;4;Fun marzipan для лепки 75 г;4;1080.00;20780.00;
